objectid,parentid,identifier,title,creator,date,description,subject,location,latitude,longitude,source,type ,format,language,rights,rights statement,display_template,filename,object_location,image_small,image_thumb,relation,coverage
rgv0011,,rgv0011,Cuartillas faciles temperamentos irascibles,"Tiberio (Pseud.), Anaya, Alfonso",1917-07-20,Report about the abuse that women endure with their husbands. Explains how a man beat his wife as a way of preventing her from selling mattresses that are on sale.,Crimes against women; man-woman relationships; WIT & humor,"San Antonio, Texas",29.4241,-98.4936,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0011.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0011.jpg ,,,,
rgv0012,,rgv0012,[En un juzgado] In: Tijerazo,La Compania Internacional Publicista,1904-08-28,Comedic entry on husband who beats his wife because she kept breaking plates.,Abused Women; Domestic Violence,"El Paso, Texas",31.7619,-106.485,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0012.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0012.jpg ,,,,
rgv0013,,rgv0013,Lo que hizo un geranio,"Silva, Josefina",1954-07-01,"Article describing a woman that was not used to the ""domestic duties"" of a female and had her fate changed by an older female that was passing by with a geranium. After the geranium was dropped off the woman was forced to rearrange her space to match the beautiful plant.","Gender role - religious aspects, women in Christianity, Christian education, Christianity","El Paso, Texas",31.7619,-106.485,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0013.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0013.jpg ,,,,
rgv0014,,rgv0014,Sexualidad y metapoesia: Cuatro poemas de Julia Alvarez,"Umpierre, Luz Maria",1989-01-01,"Article discussing the importance of Latina voices in literature and how the shifting of feminine portrayal begins in literature. "" When you touch a poem, you touch a woman."" Various demeaning ways in which women are portrayed in literature are discussed. As well, the author states that in order to love a woman, one must rid the self of women's traditional roles.",Sexuality,"Gary, Indiana",41.5568,-87.3375,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0014.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0014.jpg ,,,,
rgv0015,,rgv0015,Centro Internacional,M.,1930-03-15,Review of conference on sexuality and free love. The conference itself spoke on the biology of sexuality and the physical need it has for the human body.,Conferences & Convention; sexual ethics; human sexuality in religion,"New York, New York",40.7128,-74.006,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0015.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0015.jpg ,,,,
rgv0016,,rgv0016,La santidad del sexo,[Unknown],1954-07-01,"Review of book ""El Dominio del Sexo, Mediante Psicologia y La religion por Leslie D Weatherhead"" Explains that sexuality is one of the problems humanity faces. It can be the cause of various problems and crimes and it can also be the complete base for self actualization.",Human sexuality in religion,"El Paso, Texas",31.7619,-106.485,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0016.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0016.jpg ,,,,
rgv0017,,rgv0017,A las mujeres,"Llanos, Adolfo",1891-10-31,Essay on the various types of women that different professions will engage with.,Marriage: Mate selection: WIT & humor,"Albuquerque, New Mexico",35.0844,-106.6504,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0017.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0017.jpg ,,,,
rgv0018,,rgv0018,Mi ideal,Cop,1911-12-22,"Poem describing the physical features that the author prefers a woman to have... "" Que no ria por costumbre, Ni se enfade, ni se irrite, Que no llore y que no ria, por darme una pesadumbre.""",Mate selection; Single men,"Las Cruces, New Mexico",32.3199,-106.7937,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0018.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0018.jpg ,,,,
rgv0019,,rgv0019,Para vivir sin celos en el mundo,[Unknown],1876-9-1,"Para vivir sin celos el marido no ha de ver, y la mujer ha de ser ciega.",husband & wife; jealousy; life skills,"New York, New York",40.7128,-74.006,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0019.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0019.jpg ,,,,
rgv0020,,rgv0020,Deberes entre esposos,"Carreno, Manuel Antonio",1855-2-7,Essay detailing the duties of a man and a woman in a relationship. He is to be respectful and docile and she is to devote her life to him. A positive portrayal of relationships.,CONDUCT of life; husband & wife; man- woman relationships; MARRIAGE,"San Antonio, Texas",29.4241,-98.4936,Recovering Gender Violence. Arte Pœblico Press/Recovering the US Hispanic Literary Heritage. ,StillImage,image/jpeg,span,Arte Pœblico Press,,image,rgv0020.jpg,https://github.com/roseliabanuelos/recordinggenderviolence/blob/main/objects/rgv0020.jpg ,,,,
